id,generation,emotion,source,target
00249,20s,긍정,오늘 날씨 꿀잼이라서 감성샷 찍으러 나가려고~ ㅇㅈ하지?,오늘 날씨가 너무 좋고 재미있어서 멋진 사진을 찍으러 나가려고 해. 동의하지?
00250,20s,긍정,"오늘 진짜 갓생 살았네, ㅇㅈ? 그래서 기념으로 감성샷 찍었음!","오늘 정말 멋진 하루를 보냈어요, 그렇죠? 그래서 기념으로 감성적인 사진을 찍었어요!"
00251,20s,부정,"어제 친구랑 감성샷 찍으러 갔는데, 갑분싸 되는 바람에 다들 현타 왔어.","어제 친구와 감성 사진을 찍으러 갔는데, 분위기가 갑자기 싸해져서 모두가 멘붕했어."
00252,20s,긍정,"오늘 감성샷 찍으러 카페 갔는데, ㅇㅈ이지? 완소남이랑 단둘이서 혼밥 하니까 너무 좋더라구요.","오늘 감성적인 사진을 찍으러 카페에 갔는데, 그렇죠? 멋진 남자와 단둘이서 혼자 밥을 먹으니까 너무 좋더라고요."
00253,20s,긍정,오늘은 혼코노 하면서 꿀템 발견했어! 진짜 존맛탱이야.,오늘은 혼자서 노래방에 가서 좋은 물건을 발견했어! 정말 맛있어.
00254,20s,긍정,"이번 주말에 친구들이랑 랜선 모임 할 건데, 꿀템 추천해줘! ㅎㅎ","이번 주말에 친구들과 온라인 모임을 할 건데, 좋은 아이템 추천해줘!"
00255,20s,긍정,오늘 감성샷 찍으러 다같이 공원 가자! ㅇㅈ?,오늘 감성 있는 사진 찍으러 모두 함께 공원에 가자고? 동의해?
00256,20s,긍정,요즘 감성샷 찍으러 가면 인스타에 올릴 사진이 너무 많아서 고민세야 ㅋㅋ,요즘 감성적인 사진을 찍으러 가면 인스타그램에 올릴 사진이 너무 많아서 고민이에요 ㅋㅋ
00257,20s,긍정,"이번 주말에 강남에서 혼술하면서 감성샷 찍으려고 하는데, ㄴㅇㄱ?","이번 주말에 강남에서 혼자 술을 마시면서 감성 있는 사진을 찍으려고 하는데, 너도 올래?"
00258,20s,긍정,주말에 친구들이랑 랜선 모임 하면서 갓생 계획 세우는 거 진짜 꿀잼이었어!,주말에 친구들과 온라인 모임을 하면서 앞으로의 계획을 세우는 것이 정말 재미있었어!
00259,20s,부정,어제 친구랑 영상통화 하다가 갑분싸 돼서 노잼이었어.,어제 친구와 영상통화를 하다가 갑자기 분위기가 싸해져서 재미없었어.
00260,20s,긍정,"요즘 감성폭발하는 영상들만 보면서 신나는 주말을 보내는 중인데, ㅇㅈ이지?","요즘 감성이 폭발하는 영상들만 보면서 신나는 주말을 보내고 있는데, 정말 그렇지?"
00261,20s,부정,"오늘 감성샷 찍고 혼술하려고 하는데, 갑분싸라서 좀 우울해.","오늘 감성적인 사진을 찍고 혼자 술을 마시려고 하는데, 분위기가 갑자기 싸해져서 좀 우울해."
00262,20s,부정,"오늘 친구들이랑 감성샷 찍으러 갔는데, 갑분싸 되서 다들 멘붕 오지더라.","오늘 친구들과 함께 감성 사진을 찍으러 갔는데, 분위기가 갑자기 싸해져서 모두 멘붕 상태가 되더라."
00263,20s,부정,"오늘도 혼밥하면서 갓생 살려고 노력 중인데, 딱 내스 타이밍에 친구가 갑분싸 시켜서 약간 멘붕이야.","오늘도 혼자 밥을 먹으면서 좋은 삶을 살려고 노력 중인데, 딱 좋은 타이밍에 친구가 분위기를 망쳐서 약간 멘붕이야."
00264,10s,긍정,"오늘 친구랑 감성샷 찍으러 갔는데, 꿀잼이라 완전 기분 좋다! ㅎㅎ","오늘 친구와 감성적인 사진을 찍으러 갔는데, 정말 재미있어서 기분이 매우 좋다!"
00265,20s,부정,"오늘 친구랑 감성샷 찍으러 갔는데, 갑분싸 된 거 실화임? ㅋㅋ","오늘 친구와 감성 사진을 찍으러 갔는데, 분위기가 갑자기 싸해진 게 사실인가요? ㅎㅎ"
00266,20s,긍정,"오늘은 갑분띠하게 존맛탱인 피자를 시켜먹었어, 진짜 꿀잼이야!","오늘은 갑자기 정말 맛있는 피자를 시켜 먹었어, 진짜 재미있어!"
00267,20s,긍정,"오늘도 혼술하며 감성샷 찍고, 혼자서 존맛탱인 음식 먹으니까 완내스다.","오늘도 혼자 술 마시면서 감성적인 사진을 찍고, 혼자서 아주 맛있는 음식을 먹으니 기분이 좋다."
00268,20s,긍정,"오늘 파티 가서 꿀템 발견했는데, 완전 감성폭발이야 ㅇㅈ이지?","오늘 파티에 가서 좋은 물건을 발견했는데, 정말 기분이 좋았어, 그렇지?"
00269,20s,부정,"오늘도 감성샷 찍으러 갔는데, 갑분싸 되는 바람에 완전 멘붕이야.","오늘도 감성 사진을 찍으러 갔는데, 갑자기 분위기가 싸해져서 완전히 멘붕이야."
00270,20s,부정,"오늘 친구랑 놀다가 갑분싸라서 미치겠네, ㅎㅎ",오늘 친구랑 놀다가 갑자기 분위기가 싸해져서 너무 답답하네.
00271,10s,긍정,"이번 주말에 친구들하고 랜선모임 하기로 했는데, 존잼 기대돼!","이번 주말에 친구들과 함께 온라인 모임을 하기로 했는데, 정말 기대됩니다!"
00272,10s,긍정,"오늘 친구랑 간식 사러 갔는데, 진짜 존맛탱이었어! ㄴㅇㄱ.","오늘 친구와 간식 사러 갔는데, 정말 맛있었어요! 인정합니다."
00273,20s,부정,"오늘도 갓생 살면서 감성샷 한 장 찍으러 나왔는데, 갑자기 친구가 전화와서 노잼이라고 해서 현타 왔어.","오늘도 멋진 삶을 살면서 감성적인 사진 한 장 찍으러 나왔는데, 갑자기 친구가 전화해서 재미없다고 해서 정신적으로 힘들어졌어."
00274,10s,긍정,"오늘 날씨 진짜 갓벽한데, 감성샷 한 장 찍어야지 ㅎㅎ","오늘 날씨가 정말 완벽한데, 감성적인 사진 한 장 찍어야겠다."
00275,20s,긍정,"이번 주말에 친구들하고 혼술 할 건데, 진짜 존잼일 듯! ㅎㅂㅎ","이번 주말에 친구들과 혼자 술을 마실 건데, 정말 재미있을 것 같아요!"
00276,20s,긍정,"이번 주말에 감성샷 찍으러 갈 건데, 너도 올래? ㅇㅈ?","이번 주말에 감성 사진 찍으러 갈 예정인데, 너도 올래?"
00277,10s,긍정,"어쩔티비, 오늘은 꿀템 많이 만났네~",어쩔 수 없이 오늘은 좋은 아이템을 많이 찾았네요~
00278,20s,긍정,요즘 친구들이랑 감성샷 찍고 인생영화 봤는데 진짜 꿀잼이었어!,요즘 친구들과 함께 감성적인 사진을 찍고 인생 영화를 봤는데 정말 재미있었어!
00279,10s,긍정,"오늘 친구들이랑 혼플하면서 꿀잼 영화 보고 잔뜩 감성샷 찍었어, 진짜 갓벽한 하루였다!","오늘 친구들과 혼자 영화를 보면서 재미있는 시간을 보내고 많은 감성적인 사진을 찍었어, 정말 완벽한 하루였다!"
00280,20s,부정,"어제 영상 찍어봤는데, 갑분싸라서 잘 안 나왔어 ㅎㅎ","어제 영상을 찍어봤는데, 갑자기 분위기가 싸해져서 잘 나오지 않았어."
00281,20s,부정,"이번 주말에 친구들이랑 랜선 모임 하기로 했는데, 갑분싸 될까 봐 걱정이야.","이번 주말에 친구들이랑 온라인 모임을 하기로 했는데, 분위기가 갑자기 좋지 않을까 걱정이야."
00282,20s,긍정,오늘 갓생 열심히 살았더니 감성샷 찍으러 나가자는 친구들한테 ㅇㅈ이야.,오늘 정말 열심히 살았더니 감성 사진을 찍으러 가자고 하는 친구들에게 동의해.
00283,20s,긍정,"어제 친구랑 감성샷 찍었는데, 진짜 갓벽이야! ㅇㅈ이지?","어제 친구와 아름다운 사진을 찍었는데, 정말 완벽해! 그렇지 않나요?"
00284,20s,긍정,"이번 주말에 친구들이랑 랜선모임 하는데, 완전 꿀잼일 듯 ㅋㅋ.","이번 주말에 친구들과 온라인 모임을 하는데, 정말 재미있을 것 같아요."
00285,20s,긍정,"이번 주말에 친구들이랑 랜선 모임 하기로 했는데, 꿀템 소개해줄 예정이라 감성폭발 한다!","이번 주말에 친구들이랑 온라인 모임 하기로 했는데, 좋은 제품을 소개해줄 예정이라 기대가 커진다."
00286,20s,긍정,"오늘 내가 찍은 감성샷, 진짜 갓벽이다 ㅎㅎ",오늘 내가 찍은 사진이 정말 완벽하다.
00287,20s,긍정,"이번 주말에 친구들이랑 혼술할 건데, 존맛탱 안주 가져갈 거니까 기대해라!","이번 주말에 친구들과 혼자 술 마실 건데, 정말 맛있는 안주를 가져갈 테니까 기대해라!"
00288,20s,긍정,"요즘 감성샷 찍으러 다니는데, 완전 존맛탱인 카페 발견했어! ㅇㅈ이지?","요즘 감성적인 사진 찍으러 다니는데, 정말 맛있는 카페를 발견했어요! 그렇죠?"
00289,20s,긍정,"이번 주말에 누가 감성샷 찍어주면 갓생이나 살까 하는데, ㄴㅇㄱ?","이번 주말에 누가 감성 사진을 찍어주면 좋은 삶을 살 수 있을까 하는데, 너도 함께 할래?"
00290,20s,긍정,"오늘은 꿀잼 영화 보면서 혼영 중인데, 이 상황이 진짜 갓생이야! ㅎㅎ","오늘은 재미있는 영화를 보면서 혼자 영화 감상 중인데, 이 상황이 정말 멋지네요! ㅎㅎ"
00291,20s,긍정,"오늘 완소남이랑 감성샷 찍으러 갔는데, 완전 존맛탱이었어! ㅎㅎ","오늘 정말 매력적인 남성과 함께 감성적인 사진을 찍으러 갔는데, 정말 맛있었어요! ㅎㅎ"
00292,20s,부정,오늘 친구들이랑 감성샷 찍으러 갔는데 갑분싸 되어서 너무 힘들었어.,오늘 친구들과 감성적인 사진을 찍으러 갔는데 분위기가 갑자기 싸해져서 너무 힘들었어.
00293,20s,긍정,"오늘 날씨 너무 좋고, 나 심심한데 감성샷 찍어야겠다 ㅎㅎ","오늘 날씨가 너무 좋고, 심심한데 감성 있는 사진을 찍어야겠다."
00294,10s,긍정,"오늘도 걍 꿀잼 비디오 봤는데, 진짜 갓생 사는 기분이야! ㅎㅎ","오늘도 그냥 재미있는 비디오를 봤는데, 정말로 멋진 삶을 사는 기분이에요! ㅎㅎ"
00295,20s,긍정,"오늘의 인생샷을 찍었는데, 감성샷이 제대로 나와서 기분이 꿀잼이야!","오늘의 인생 사진을 찍었는데, 감성 있는 사진이 잘 나오고 기분이 좋다!"
00296,20s,긍정,"어제 친구들 만나서 갓생 살았는데, 감성샷 건지려고 고구마 먹으면서 놀았어.","어제 친구들과 만나서 멋진 시간을 보냈는데, 감성적인 사진을 찍기 위해 고구마를 먹으면서 놀았어요."
00297,20s,부정,"오늘도 갓생 살러 나갔는데 갑자기 비와서 ㄴㅇㄱ이야, 진짜 고구마네.",오늘도 열심히 좋은 삶을 살러 나갔는데 갑자기 비가 와서 정말 짜증나네.
00298,20s,긍정,오늘 정말 꿀잼 있는 영상 발견했다! 감성샷도 많아서 ㅇㅈ이지.,오늘 정말 재미있는 영상을 발견했다! 감성적인 사진도 많아서 인정한다.
00299,20s,긍정,"오늘 떡상한 그 영상 진짜 존잼이었어, ㅇㅈ이지?","오늘 떡상한 그 영상 정말 재미있었지, 맞지?"
00300,20s,긍정,오늘 감성샷 찍으러 ㄴㅇㄱ 할 사람?! 존맛탱 카페 발견했는데 미쳤다!,"오늘 감성 사진 찍으러 가고 싶은 사람 있나요? 정말 맛있는 카페를 발견했어요, 대단합니다!"
00301,20s,긍정,"이번 주말에 감성샷 찍으러 가려고 하는데, 갓벽한 장소가 있어서 꿀템 발견한 기분이야!","이번 주말에 감성 사진을 찍으러 가려고 하는데, 완벽한 장소가 있어서 좋은 아이템을 발견한 기분이야!"
00302,20s,긍정,"오늘은 갓생 살자고 친구들이랑 감성샷 찍으러 갔는데, 진짜 존잼이야.","오늘은 좋은 삶을 살기 위해 친구들과 함께 감성을 담은 사진을 찍으러 갔는데, 정말 재밌어요."
00303,20s,부정,"오늘도 혼술하면서 뇌절할 각이야, 완소남이랑 소확행 찾고 싶어!","오늘도 혼자 술을 마시면서 기분이 좋지 않은 듯한 기분이야, 정말 좋아하는 친구와 작은 행복을 찾고 싶어!"
00304,20s,부정,"오늘 발표 진짜 GG였어, 갑분싸 분위기였지 뭐야.","오늘 발표는 정말 좋지 않았고, 분위기도 갑자기 싸해졌어."
00305,20s,부정,"요즘 내 친구들이랑 감성샷 찍으러 갔는데, 갑분싸 되면서 분위기 완전 뻘했다 ㅋㅋ.","요즘 내 친구들과 감성적인 사진을 찍으러 갔는데, 갑자기 분위기가 어색해져서 완전히 망쳤다."
00306,20s,부정,너 무슨 일 있어? 요즘 너무 우울해 보여서 나도 현타 온다.,너 무슨 일이 있어? 요즘 너무 우울해 보여서 나도 괴롭다.
00307,10s,긍정,마카롱 먹으러 갔는데 갓벽한 감성샷 대작 나왔다 ㅎㅎ,마카롱을 먹으러 갔는데 완벽한 감성 사진이 나왔다.
00308,20s,긍정,"오늘도 갓벽한 감성샷 찍으러 나가는데, 완전 꿀잼이야 ㅎㅎ","오늘도 완벽한 감성 사진을 찍으러 나가는데, 정말 재미있어요."
00309,10s,긍정,"어제 친구랑 영화를 봤는데 진짜 존잼이라서 시간 가는 줄 몰랐어, 완내스!","어제 친구와 영화를 봤는데 정말 재미있어서 시간 가는 줄 몰랐어, 정말 좋았어!"
00310,20s,긍정,"이번 주말 혼술 하면서 감성샷 찍으려고 하는데, 진짜 존잼일 듯! ㅎㅎ","이번 주말에 혼자 술을 마시면서 감성적인 사진을 찍으려고 하는데, 정말 재미있을 것 같아요!"
00311,20s,부정,"오늘은 갑분싸 느낌이라서 혼자서 감성샷 찍고 있어, ㅇㅈ?","오늘은 갑자기 분위기가 싸해져서 혼자서 감성적인 사진을 찍고 있어, 그렇지?"
00312,20s,긍정,"오늘 친구들이랑 카페 가서 존맛탱 디저트 먹었는데, 감성샷도 찍고 완전 갓벽한 하루였다!","오늘 친구들과 카페에 가서 정말 맛있는 디저트를 먹었는데, 감성 있는 사진도 찍고 완벽한 하루였다!"
00313,20s,긍정,"이번 주말에 랜선 생일 파티 하겠다고 하니까 감성 폭발하는 분위기야, ㅋㅋ","이번 주말에 온라인 생일 파티를 하겠다고 하니까 감정이 폭발하는 분위기야, 하하."
00314,20s,부정,"어제 친구랑 감성샷 찍으러 갔는데, 갑분띠로 비가 쏟아져서 노잼되버렸어.","어제 친구와 감성 있는 사진을 찍으러 갔는데, 갑자기 비가 쏟아져서 재미없어졌어."
00315,20s,긍정,"요즘 나 혼자서 영화 보는데, 진짜 꿀템 찾은 듯! 세상 편해 ㅎㅎ","요즘 혼자서 영화를 보는데, 정말 좋은 아이템을 찾은 것 같아요! 너무 편해요."
00316,20s,긍정,"오늘은 완전 감성폭발 하는 날이야, 그래서 나가서 감성샷 찍으려고!","오늘은 정말 감정이 풍부한 날이라서, 나가서 예쁜 사진을 찍으려고 해."
00317,20s,긍정,"요즘 인스타 감성샷 찍는 게 진짜 대세야, 이건 존맛탱인 디저트랑 찰떡이야!",요즘 인스타그램에서 감성 있는 사진 찍는 것이 정말 유행이에요. 이 디저트는 정말 맛있고 잘 어울리네요!
00318,10s,부정,"오늘 완전 GG였어, 감성샷 찍으러 갔는데 갑분싸로 분위기가 깨져버렸어.","오늘 정말 아쉬웠어, 감성적인 사진을 찍으러 갔는데 갑자기 분위기가 망쳐졌어."
00319,20s,긍정,"이번 영상 진짜 꿀잼인데, 다들 ㅇㅈ이지?","이번 영상 정말 재미있는데, 모두 동의하죠?"
00320,10s,긍정,너 그거 먹어봤어? 존맛탱인데 진짜 개이득이야!,너 그거 먹어봤어? 진짜 맛있는데 정말 좋은 거야!
00321,10s,긍정,너 그거 알지? 오늘 찍은 감성샷 진짜 갓벽이야. ㅋㅋ,너 그거 알아? 오늘 찍은 감성 사진이 정말 완벽해.
00322,20s,긍정,"이번 주 금요일에 친구들하고 랜선모임 하기로 했는데, 꿀템 보이길래 너무 기분 좋다!","이번 주 금요일에 친구들과 온라인 모임을 하기로 했는데, 좋은 아이템이 보여서 너무 기분이 좋다!"
00323,20s,긍정,"오늘은 혼술하면서 감성샷 찍을 거라 노잼이겠지만, 내 기분은 꿀잼이다.","오늘 혼자 술을 마시면서 감성적인 사진을 찍을 예정인데, 재미는 없겠지만 내 기분은 아주 좋다."
00324,20s,긍정,요즘은 감성샷 찍고 ㄴㅇㄱ하면서 인생샷 찾는 재미가 쏠쏠해.,요즘은 감성 있는 사진을 찍고 친구들과 함께 인생을 즐기는 재미가 쏠쏠해.
00325,20s,긍정,"오늘도 갓생 살면서 꿀템 쇼핑했는데, 진짜 존맛탱 음식 발견해서 기분 최고였어!","오늘도 힘차게 생활하면서 좋은 제품을 쇼핑했는데, 정말 맛있는 음식을 발견해서 기분이 최고였어요!"
00326,20s,긍정,오늘 감성폭발하는 날이라서 인생샷 건졌다 ㅋㅋ,오늘 감정이 정말 좋아서 인생의 최고의 사진을 찍었다.
00327,20s,긍정,"오늘은 감성폭발하는 날인데, GG한 기분이라서 혼코노 하러 가야겠다.","오늘은 감성이 매우 풍부한 날인데, 기분이 좋기 때문에 혼자 노래방에 가야겠다."
00328,20s,긍정,"오늘 드디어 꿀템 샀는데, ㄴㅇㄱ? 진짜 개이득이야!","오늘 드디어 좋은 물건을 샀는데, 인정하시겠습니까? 정말 대단하네요!"
00329,20s,긍정,"요즘 인생샷이 너무 잘 나와서 감성폭발이야, ㄴㅇㄱ?","요즘 인생사진이 너무 잘 나와서 기분이 좋네요, 그렇죠?"
00330,20s,긍정,이번 주말에 친구들하고 랜선으로 모임하는데 감성샷 찍으려고 준비 중이야. ㅎㅎ,이번 주말에 친구들과 온라인으로 모임을 하는데 감성적인 사진을 찍으려고 준비 중이에요.
00331,20s,부정,"오늘 진짜 꿀잼이었는데, 갑분싸 되는 상황이 발생해서 너무 아쉬웠어.","오늘 정말 재미있었는데, 갑자기 분위기가 싸해지는 상황이 생겨서 너무 아쉬웠어요."
00332,20s,긍정,"오늘 감성샷 찍었는데, 완전 갓생이다 ㅎㅎ","오늘 감성적인 사진을 찍었는데, 정말 멋지다."
00333,20s,긍정,"어제 저녁 혼술로 꿀템 발견했는데, 진짜 존맛탱이었어!","어제 저녁 혼자 술을 마시다가 정말 맛있는 음료를 발견했는데, 정말 맛있었어요!"
00334,10s,긍정,오늘 친구랑 감성샷 찍으러 갔는데 갓벽한 날씨라서 ㄴㅇㄱ 완전 꿀잼이었다!,"오늘 친구와 함께 멋진 사진을 찍으러 갔는데, 날씨가 정말 좋고 재미있었다."
00335,20s,긍정,요즘 나만 이러는 건가? 혼술하면서 감성샷 찍으니까 완전 힐링타임이더라.,요즘 나만 이런 기분인가? 혼자 술을 마시며 감성적인 사진을 찍으니까 정말 힐링하는 것 같아요.
00336,10s,긍정,"오늘 감성샷 찍으러 갈 건데, ㅇㅈ? 잼민이들도 다 올 거니까 꿀잼이야!","오늘 감성 사진을 찍으러 갈 건데, 괜찮지? 어린 친구들도 다 올 거니까 재미있을 거야!"
00337,20s,긍정,오늘 진짜 존맛탱 치킨 먹었는데 감성샷 찍으러 가야겠다!,오늘 정말 맛있는 치킨을 먹었는데 감성 있는 사진을 찍으러 가야겠다!
00338,20s,긍정,요즘 나랑 친구들은 인생샷 찍으려고 감성폭발하는 중이야.,요즘 나와 친구들은 인생사진을 찍으려고 감정이 넘치는 중이에요.
00339,20s,긍정,"오늘 저녁에 친구들이랑 랜선으로 영화 보는데, 진짜 존잼이라서 감성폭발할 듯!","오늘 저녁에 친구들과 온라인으로 영화를 보는데, 정말 재미있어서 감정이 폭발할 것 같아요!"
00340,10s,긍정,"이번 주말에 랜선으로 친구들이랑 게임할 건데, 진짜 꿀잼 예상해.","이번 주말에 온라인으로 친구들과 게임할 건데, 정말 재미있을 것 같아."
00341,20s,긍정,너네 내 감성샷 보고 ㄴㅇㄱ? 진짜 아름답지 않니?,너희는 내 감성 사진을 보고 인정해? 정말 아름답지 않니?
00342,20s,긍정,"이번 주말에 친구들하고 혼술하면서 감성샷 찍고, 진짜 꿀템 하나 사서 갬성 폭발할 거야!","이번 주말에 친구들과 혼자 술을 마시며 감성적인 사진을 찍고, 정말 좋은 물건 하나 사서 감정이 폭발할 거예요!"
00343,20s,긍정,"어제 영화 보고 감성샷 찍고 왔는데, 진짜 존맛탱이었어~","어제 영화를 보고 감성적인 사진을 찍고 왔는데, 정말 맛있었어."
00344,20s,긍정,"오늘 친구들이랑 감성샷 찍고 오랜만에 플렉스했더니 기분이 완전 좋다, ㅎㅂㅎ!",오늘 친구들과 감성 있는 사진을 찍고 오랜만에 멋내니 기분이 아주 좋다!
00345,20s,중립,"오늘 감성샷 찍으러 나가는데, 갑분싸 되는 거 아니냐고 ㅋㅋ","오늘 감성적인 사진을 찍으러 나가는데, 갑자기 분위기가 가라앉는 거 아니냐고 웃어보였다."
00346,20s,부정,오늘은 감성샷 찍으러 친구들이랑 나갔다가 갑분싸 돼서 다들 현타 왔어.,오늘은 감성 사진을 찍으러 친구들과 나갔다가 분위기가 갑자기 싸해져서 모두 우울해졌어.
00347,20s,긍정,"오늘 친구랑 감성샷 찍으러 갔는데, 진짜 개이득이었어!","오늘 친구와 감성적인 사진을 찍으러 갔는데, 정말 큰 만족을 느꼈어!"
00348,20s,긍정,"이번 주말에 친구들이랑 랜선 모임 할 건데, 완소남이랑은 꼭 시간 맞춰봐야지! ㅇㅈ?","이번 주말에 친구들과 온라인 모임을 할 건데, 완벽한 남자와는 꼭 시간 맞춰봐야겠어! 알겠지?"
00349,20s,긍정,오늘은 갓벽한 날이니까 감성샷 찍고 싶다 ㅇㅈ이지?,오늘은 완벽한 날이니까 감성 사진을 찍고 싶다고 생각해?
00350,20s,부정,오늘 모임에서 갑분싸되는 순간 진짜 소름돋네.,오늘 모임에서 불편한 상황이 발생하니까 정말 아쉬웠어.
00351,20s,긍정,"이번 촬영 진짜 감성폭발이다, 인생샷 나왔어! ㅎㅎ","이번 촬영이 정말 감정이 넘치고, 인생의 좋은 사진이 나왔어! ㅎㅎ"
00352,20s,긍정,"오늘도 완소남과 감성샷 찍으러 갔는데, 진짜 존맛탱인 카페 발견했어! ㅎㅎ","오늘도 마음에 드는 남성과 감성적인 사진을 찍으러 갔는데, 정말 맛있는 카페를 발견했어요!"
00353,20s,긍정,오늘 촬영한 감성샷이 진짜 갓벽이라서 인스타에 올릴 생각에 가슴이 두근두근해 ㅎㅎ,오늘 촬영한 멋진 사진이 정말 완벽해서 인스타에 올릴 생각에 가슴이 두근거려요.
00354,20s,부정,오늘도 감성샷 찍으러 갔는데 갑분싸 되는 바람에 엉망이 됐어.,오늘도 감성 있는 사진을 찍으러 갔는데 분위기가 갑자기 싸해져서 엉망이 되었어.
00355,20s,긍정,"오늘 저녁에 친구들이랑 혼술할 건데, 갓벽한 안주 찾았어! ㅋㅋ","오늘 저녁에 친구들과 혼자 술 마실 건데, 완벽한 안주를 찾았어요! ㅋㅋ"
00356,20s,긍정,"오늘 나랑 감성샷 찍고 싶으면 ㄴㅇㄱ 해줘, 인생샷 건지게!","오늘 나와 감성 사진을 찍고 싶다면 해줘, 인생 사진을 건지게!"
00357,20s,긍정,오늘 혼술 하다가 진짜 존맛탱 안주 발견했어! ㅋㅋ,오늘 혼자 술 마시다가 정말 맛있는 안주를 발견했어! 하하
00358,20s,부정,오늘 감성샷 찍으러 나가는데 갑분싸 되면 진짜 최악이야.,오늘 감성 사진을 찍으러 나가는데 분위기가 갑자기 싸해지면 정말 최악이에요.
00359,20s,긍정,"오늘 친구랑 혼술했는데, 꿀템으로 과일 칵테일 만들어서 감성폭발했어!","오늘 친구와 함께 술을 마셨는데, 좋은 재료로 과일 칵테일을 만들어서 감정이 폭발했어요!"
00360,20s,부정,"요즘 인싸들이랑 감성샷 찍으러 갔는데, 갑분싸라서 좀 아쉬웠어.","요즘 친구들과 감성 사진 찍으러 갔는데, 갑자기 분위기가 어색해져서 좀 아쉬웠어."
00361,20s,중립,갑분싸 분위기지만 그래도 이 감성샷 한 장은 건져야지 ㅎㅎ,갑작스럽게 분위기가 싸해졌지만 그래도 이 감성적인 사진 한 장은 찍어야겠다.
00362,20s,긍정,"오늘은 갑분띠로 갑자기 스리슬쩍 영화 보고 싶어서 혼영했는데, 감성폭발하면서 진짜 재밌더라.","오늘 갑자기 뜻하지 않게 영화 보고 싶어서 혼자 영화를 봤는데, 감정이 폭발할 정도로 정말 재미있더라."
00363,10s,긍정,"어제 감성샷 찍으러 갔는데, 완전 갓생이었다고 ㅇㅈ? ㅋㅋ","어제 감성적인 사진을 찍으러 갔는데, 정말 멋진 경험이었다고 인정하지? ㅋㅋ"
00364,20s,긍정,"오늘 친구들 만나서 꿀잼 영상 찍었는데, 진짜 갓벽한 순간들이었어 ㅎㅎ","오늘 친구들과 만나서 재미있는 영상을 찍었는데, 정말 완벽한 순간들이었어."
00365,20s,긍정,"이번 주말에 친구들이랑 랜선으로 노가리 좀 떨려고 하는데, 기대되네 갓벽한 하루 될 듯!","이번 주말에 친구들과 온라인으로 이야기를 나누려고 하는데, 기대가 되네요. 완벽한 하루가 될 것 같습니다!"
00366,20s,긍정,"오늘 일찍 퇴근해서 꿀템 사러 갔는데, 진짜 갓벽한 쇼핑이었어, ㅎㅎ","오늘 일찍 퇴근해서 좋은 물건 사러 갔는데, 정말 완벽한 쇼핑이었어."
00367,20s,부정,오늘 감성샷 찍으러 갔는데 갑분싸 분위기였다 ㅎㅂㅎ,오늘 감성 있는 사진을 찍으러 갔는데 갑자기 분위기가 싸해졌다.
00368,20s,긍정,"오늘 날씨 진짜 좋다, 완소남이랑 감성샷 찍으러 가야겠다!","오늘 날씨 정말 좋다, 완벽한 남자와 함께 감성적인 사진을 찍으러 가야겠다!"
00369,20s,긍정,"오늘 진짜 꿀잼 영화 발견해서 감성샷 찍었다, 완전 인생영화야!","오늘 정말 재미있는 영화를 발견해서 감성적인 사진을 찍었어, 완전히 내 인생 영화야!"
00370,20s,긍정,"오늘은 꿀템 찾아서 완전 행복해, 갓생 살고 있는 기분이야ㅎㅎ!","오늘은 좋은 아이템을 찾아서 정말 행복해, 인생을 잘 살고 있는 기분이야ㅎㅎ!"
00371,10s,긍정,오늘 감성샷 찍으러 ㄴㅇㄱ? 나도 꿀템 챙겼어!,오늘 감성 사진 찍으러 갈래? 나도 좋은 아이템 준비했어!
00372,20s,긍정,오늘 학교에서 갓생 살고 있는 친구를 보니까 진짜 ㅇㅈ이지? 완소남 같더라.,오늘 학교에서 정말 멋진 삶을 살고 있는 친구를 보니까 정말 인정할 수밖에 없더라. 완벽한 남자 같았다.
00373,20s,긍정,오늘은 혼코노 하면서 감성샷 잔뜩 찍으러 갈 거야! ㅇㅈ?,오늘은 혼자 노래 부르면서 감성적인 사진을 많이 찍으러 갈 거야! 인정?
00374,20s,긍정,"이번 주말에 친구들이랑 감성샷 찍으러 가는데, 너무 기대돼서 현타 온다.","이번 주말에 친구들과 감성 사진을 찍으러 가는데, 너무 기대돼서 정신이 혼란스럽다."
00375,20s,긍정,"오늘은 완전 꿀템 발견해서 기분 최고야, ㅇㅈ? 완소남의 하루는 이래야지!","오늘은 정말 좋은 물건을 발견해서 기분이 최고예요, 맞죠? 완벽한 남자의 하루는 이래야 하죠!"
00376,20s,부정,오늘도 감성샷 찍으러 ㄴㅇㄱ! 근데 날씨가 갑분싸네.,오늘도 감성 있는 사진을 찍으러 가자! 그런데 날씨가 갑자기 안 좋네요.
00377,20s,긍정,"이번 주말에 고나리 친구들 만나서 존맛탱 떡볶이 먹으러 갈 건데, 감성샷도 많이 찍으려고 해~","이번 주말에 지켜보는 친구들과 함께 아주 맛있는 떡볶이를 먹으러 갈 건데, 예쁜 사진도 많이 찍으려고 해."
00378,20s,부정,요즘 너무 힘든데 그냥 GG 하고 싶다.,요즘 너무 힘든데 그냥 끝내고 싶다.
00379,20s,긍정,"오늘 친구들이랑 랜선모임 했는데, 감성샷 찍고 꿀템 공유하면서 꿀잼이었어!","오늘 친구들과 온라인 모임을 했는데, 감성 있는 사진을 찍고 좋은 물건을 공유하면서 정말 재밌었습니다!"
